tpm,treatment,tissue
0.706345,H2O,aerial shoot
0.0,H2O,aerial shoot
0.801535,H2O,aerial shoot
0.0,H2O,aerial shoot
1.60226,H2O,aerial shoot
1.84628,H2O,aerial shoot
1.88083,H2O,aerial shoot
2.37204,H2O,aerial shoot
1.09919,H2O,aerial shoot
1.05165,H2O,aerial shoot
0.5624180000000001,H2O,aerial shoot
1.49786,H2O,aerial shoot
2.72891,H2O,aerial shoot
0.495207,H2O,aerial shoot
0.0,H2O,aerial shoot
0.965824,H2O,aerial shoot
2.2703,H2O,aerial shoot
0.698401,H2O,aerial shoot
1.54621,H2O,aerial shoot
0.788366,H2O,aerial shoot
2.06198,H2O,aerial shoot
2.68993,H2O,aerial shoot
3.40602,H2O,aerial shoot
0.0,H2O,aerial shoot
0.7264970000000001,H2O,aerial shoot
0.0,H2O,aerial shoot
2.26377,H2O,aerial shoot
1.26512,H2O,aerial shoot
2.0146,H2O,aerial shoot
1.7119099999999998,H2O,aerial shoot
1.37519,H2O,aerial shoot
1.38512,H2O,aerial shoot
1.2556200000000002,H2O,aerial shoot
0.320809,H2O,aerial shoot
2.78327,H2O,aerial shoot
0.0,H2O,aerial shoot
0.991922,H2O,aerial shoot
0.0,H2O,aerial shoot
1.42505,H2O,aerial shoot
0.0,H2O,aerial shoot
0.635443,H2O,aerial shoot
0.689567,H2O,aerial shoot
0.808473,H2O,aerial shoot
0.84709,H2O,aerial shoot
1.94299,H2O,aerial shoot
0.5715600000000001,H2O,aerial shoot
1.01488,H2O,aerial shoot
0.497768,H2O,aerial shoot
2.62325,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
5.20166,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
3.39537,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
2.64536,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
3.67766,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
28.6599,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
1.18376,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
1.48424,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
3.8728,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
2.10803,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
1.73988,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
0.390046,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
1.94152,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
0.464074,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
2.2614400000000003,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
3.77359,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
2.6554,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
1.54366,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
1.5061,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
2.66335,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
2.56407,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
4.40569,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
3.23605,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
1.97837,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
2.83573,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
2.05572,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
1.95783,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
0.741149,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
1.92354,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
4.19538,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
7.20189,Hyaloperonospora arabidopsidis_Emoy2,aerial shoot
