tpm,treatment,tissue
43.4905,Con,leaf
1.58293,Con,leaf
45.3962,Con,leaf
38.904,Con,leaf
29.6351,Con,leaf
52.6789,Con,leaf
4.45138,Con,leaf
42.6067,Con,leaf
23.6658,Con,leaf
5.57923,Con,leaf
36.751,Con,leaf
1.9294,Con,leaf
18.3646,Con,leaf
39.7132,Con,leaf
3.3181300000000005,Con,leaf
0.762021,Con,leaf
41.2357,Con,leaf
16.4649,Con,leaf
36.9642,Con,leaf
21.6554,Con,leaf
2.48838,Con,leaf
1.6529,Con,leaf
55.4002,Con,leaf
0.65876,Con,leaf
39.5335,Con,leaf
20.2658,Con,leaf
2.56055,Con,leaf
5.00845,Con,leaf
1.69077,Con,leaf
38.4973,Con,leaf
2.19156,Con,leaf
1.52704,Con,leaf
33.3598,Con,leaf
23.4374,Con,leaf
37.3662,Con,leaf
6.01246,Fusarium oxysporum,leaf
71.5524,Fusarium oxysporum,leaf
22.3221,Fusarium oxysporum,leaf
46.9294,Fusarium oxysporum,leaf
6.0039099999999985,Fusarium oxysporum,leaf
43.56,Fusarium oxysporum,leaf
51.3326,Fusarium oxysporum,leaf
42.1887,Fusarium oxysporum,leaf
41.3949,Fusarium oxysporum,leaf
3.4839800000000003,Fusarium oxysporum,leaf
34.1494,Fusarium oxysporum,leaf
5.01351,Fusarium oxysporum,leaf
5.41834,Fusarium oxysporum,leaf
41.1346,Fusarium oxysporum,leaf
5.79758,Fusarium oxysporum,leaf
57.1085,Fusarium oxysporum,leaf
6.17814,Fusarium oxysporum,leaf
39.6897,Fusarium oxysporum,leaf
10.5223,Fusarium oxysporum,leaf
30.1475,Fusarium oxysporum,leaf
41.1873,Fusarium oxysporum,leaf
48.0988,Fusarium oxysporum,leaf
52.7792,Fusarium oxysporum,leaf
42.6961,Fusarium oxysporum,leaf
15.2407,Fusarium oxysporum,leaf
6.24718,Fusarium oxysporum,leaf
9.72928,Fusarium oxysporum,leaf
38.3629,Fusarium oxysporum,leaf
8.48433,Fusarium oxysporum,leaf
55.897,Fusarium oxysporum,leaf
7.993810000000001,Fusarium oxysporum,leaf
4.15375,Fusarium oxysporum,leaf
57.3091,Fusarium oxysporum,leaf
31.1655,Fusarium oxysporum,leaf
38.8195,Fusarium oxysporum,leaf
10.2291,Fusarium oxysporum,leaf
61.3943,Fusarium oxysporum,leaf
45.0315,Fusarium oxysporum,leaf
6.5345900000000015,Fusarium oxysporum,leaf
45.3488,Fusarium oxysporum,leaf
5.65326,Fusarium oxysporum,leaf
52.8889,Fusarium oxysporum,leaf
10.1255,Fusarium oxysporum,leaf
6.57344,Fusarium oxysporum,leaf
8.77454,Fusarium oxysporum,leaf
9.25509,Fusarium oxysporum,leaf
20.2077,Pseudomonas syringae effector_HopAM1,leaf
69.4692,Pseudomonas syringae effector_HopAM1,leaf
25.2066,Pseudomonas syringae effector_HopAM1,leaf
17.7109,Pseudomonas syringae effector_HopAM1,leaf
20.7524,Pseudomonas syringae effector_HopAM1,leaf
41.2269,Pseudomonas syringae effector_HopAM1,leaf
27.0467,Pseudomonas syringae effector_HopAM1,leaf
61.6128,Pseudomonas syringae effector_HopAM1,leaf
20.5735,Pseudomonas syringae effector_HopAM1,leaf
18.0046,Pseudomonas syringae effector_HopAM1,leaf
29.1201,Pseudomonas syringae effector_HopAM1,leaf
81.1469,Pseudomonas syringae effector_HopAM1,leaf
73.1964,Pseudomonas syringae effector_HopAM1,leaf
35.9766,Pseudomonas syringae effector_HopAM1,leaf
51.7316,Pseudomonas syringae effector_HopAM1,leaf
34.6992,Pseudomonas syringae effector_HopAM1,leaf
24.2845,Pseudomonas syringae effector_HopAM1,leaf
92.9086,Pseudomonas syringae effector_HopAM1,leaf
31.1271,Pseudomonas syringae_pv.maculicola,leaf
17.0724,Pseudomonas syringae_pv.maculicola,leaf
18.2365,Pseudomonas syringae_pv.maculicola,leaf
23.5888,Pseudomonas syringae_pv.maculicola,leaf
25.8139,Pseudomonas syringae_pv.maculicola,leaf
24.6668,Pseudomonas syringae_pv.maculicola,leaf
8.079180000000001,Pseudomonas syringae_pv.maculicola,leaf
24.1112,Pseudomonas syringae_pv.maculicola,leaf
