tpm,treatment,tissue
1.26512,H2O/aerial shoot,aerial shoot
1.7119099999999998,H2O/aerial shoot,aerial shoot
1.37519,H2O/aerial shoot,aerial shoot
2.78327,H2O/aerial shoot,aerial shoot
0.0,H2O/aerial shoot,aerial shoot
0.991922,H2O/aerial shoot,aerial shoot
0.0,H2O/aerial shoot,aerial shoot
0.635443,H2O/aerial shoot,aerial shoot
0.0,H2O/aerial shoot,aerial shoot
1.84628,H2O/aerial shoot,aerial shoot
1.09919,H2O/aerial shoot,aerial shoot
1.05165,H2O/aerial shoot,aerial shoot
0.5624180000000001,H2O/aerial shoot,aerial shoot
0.0,H2O/aerial shoot,aerial shoot
0.965824,H2O/aerial shoot,aerial shoot
3.40602,H2O/aerial shoot,aerial shoot
0.0,H2O/aerial shoot,aerial shoot
2.72891,H2O/aerial shoot,aerial shoot
0.0,H2O/aerial shoot,aerial shoot
0.808473,H2O/aerial shoot,aerial shoot
0.5715600000000001,H2O/aerial shoot,aerial shoot
1.42505,H2O/aerial shoot,aerial shoot
0.320809,H2O/aerial shoot,aerial shoot
0.706345,H2O/aerial shoot,aerial shoot
1.38512,H2O/aerial shoot,aerial shoot
1.01488,H2O/aerial shoot,aerial shoot
0.497768,H2O/aerial shoot,aerial shoot
0.689567,H2O/aerial shoot,aerial shoot
2.26377,H2O/aerial shoot,aerial shoot
0.7264970000000001,H2O/aerial shoot,aerial shoot
0.0,H2O/aerial shoot,aerial shoot
1.60226,H2O/aerial shoot,aerial shoot
2.2703,H2O/aerial shoot,aerial shoot
1.54621,H2O/aerial shoot,aerial shoot
0.0,H2O/aerial shoot,aerial shoot
2.68993,H2O/aerial shoot,aerial shoot
2.06198,H2O/aerial shoot,aerial shoot
0.788366,H2O/aerial shoot,aerial shoot
0.698401,H2O/aerial shoot,aerial shoot
0.495207,H2O/aerial shoot,aerial shoot
2.37204,H2O/aerial shoot,aerial shoot
1.88083,H2O/aerial shoot,aerial shoot
0.801535,H2O/aerial shoot,aerial shoot
1.49786,H2O/aerial shoot,aerial shoot
0.84709,H2O/aerial shoot,aerial shoot
1.94299,H2O/aerial shoot,aerial shoot
1.2556200000000002,H2O/aerial shoot,aerial shoot
2.0146,H2O/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
3.90358,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.46938,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.94268,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
0.894294,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.92015,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
2.73201,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.50576,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.45518,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
2.08721,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
3.27823,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
3.5453900000000003,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
2.6889,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
2.92916,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
23.9052,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
0.901738,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.68595,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
2.50714,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
3.82434,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
3.35236,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
0.895559,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.69155,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.56448,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
6.25793,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.1296700000000002,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
3.77997,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
2.71016,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
0.78115,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
3.39247,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.4731299999999998,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
1.08815,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Emoy2/aerial shoot,aerial shoot
